YearMonth,StockCode,Description,CancelledVolume
2010-12,16161P,"WRAP ENGLISH ROSE ",1
2010-12,20750,"RED RETROSPOT MINI CASES",1
2010-12,21058,"PARTY INVITES WOODLAND",1
2010-12,21059,"PARTY INVITES DINOSAURS",1
2010-12,21121,"SET/10 RED POLKADOT PARTY CANDLES",1
2010-12,21122,"SET/10 PINK POLKADOT PARTY CANDLES",1
2010-12,21123,"SET/10 IVORY POLKADOT PARTY CANDLES",1
2010-12,21124,"SET/10 BLUE POLKADOT PARTY CANDLES",1
2010-12,21210,"SET OF 72 RETROSPOT PAPER  DOILIES",1
2010-12,21212,"PACK OF 72 RETROSPOT CAKE CASES",1
2010-12,21231,"SWEETHEART CERAMIC TRINKET BOX",1
2010-12,21232,"STRAWBERRY CERAMIC TRINKET BOX",1
2010-12,21498,"RED RETROSPOT WRAP ",1
2010-12,21499,"BLUE POLKADOT WRAP",1
2010-12,21524,"DOORMAT SPOTTY HOME SWEET HOME",1
2010-12,21577,"SAVE THE PLANET COTTON TOTE BAG",1
2010-12,21668,"RED STRIPE CERAMIC DRAWER KNOB",1
2010-12,21669,"BLUE STRIPE CERAMIC DRAWER KNOB",1
2010-12,21671,"RED SPOT CERAMIC DRAWER KNOB",1
2010-12,21891,"TRADITIONAL WOODEN SKIPPING ROPE",1
2010-12,21915,"RED  HARMONICA IN BOX ",1
2010-12,21974,"SET OF 36 PAISLEY FLOWER DOILIES",1
2010-12,21976,"PACK OF 60 MUSHROOM CAKE CASES",1
2010-12,22027,"TEA PARTY BIRTHDAY CARD",1
2010-12,22029,"SPACEBOY BIRTHDAY CARD",1
2010-12,22046,"TEA PARTY  WRAPPING PAPER ",1
2010-12,22048,"BIRTHDAY BANQUET GIFT WRAP",1
2010-12,22050,"PINK PAISLEY ROSE GIFT WRAP",1
2010-12,22086,"PAPER CHAIN KIT 50'S CHRISTMAS ",2
2010-12,22090,"PAPER BUNTING RETROSPOT",1
2010-12,22138,"BAKING SET 9 PIECE RETROSPOT ",1
2010-12,22139,"RETROSPOT TEA SET CERAMIC 11 PC ",1
2010-12,22197,"POPCORN HOLDER",1
