YearMonth,StockCode,Description,SalesVolume,TotalSales
2010-12,22114,"HOT WATER BOTTLE TEA AND SYMPATHY",12,51.00
2010-12,22666,"RECIPE BOX PANTRY YELLOW DESIGN",23,73.53
2010-12,22720,"SET OF 3 CAKE TINS PANTRY DESIGN ",27,157.01
2010-12,22894,"TABLECLOTH RED APPLES DESIGN ",3,29.85
2010-12,22961,"JAM MAKING SET PRINTED",37,59.17
2010-12,23328,"SET 6 SCHOOL MILK BOTTLES IN CRATE",52,219.75
2010-12,C2,CARRIAGE,2,100.00
2010-12,20982,"12 PENCILS TALL TUBE SKULLS",13,11.05
2010-12,20983,"12 PENCILS TALL TUBE RED RETROSPOT",13,11.05
2010-12,21703,"BAG 125g SWIRLY MARBLES",38,15.96
2010-12,22593,"CHRISTMAS GINGHAM STAR",24,20.40
2010-12,22909,"SET OF 20 VINTAGE CHRISTMAS NAPKINS",78,69.42
2010-12,23215,"JINGLE BELL HEART ANTIQUE SILVER",24,49.92
2010-12,23223,"CHRISTMAS TREE HANGING SILVER ",72,59.76
2010-12,23264,"SET OF 3 WOODEN SLEIGH DECORATIONS",54,68.71
2010-12,23274,"STAR T-LIGHT HOLDER WILLIE WINKIE",24,39.60
2010-12,23310,"BUBBLEGUM RING ASSORTED",73,31.07
2010-12,23367,"SET 12 COLOUR PENCILS SPACEBOY ",100,65.00
2010-12,23368,"SET 12 COLOUR PENCILS DOLLY GIRL ",85,55.85
2010-12,23445,"ICE CREAM BUBBLES",60,49.80
2010-12,22577,"WOODEN HEART CHRISTMAS SCANDINAVIAN",97,38.63
2010-12,22579,"WOODEN TREE CHRISTMAS SCANDINAVIAN",93,32.37
2010-12,22816,"CARD MOTORBIKE SANTA",70,29.40
2010-12,22892,"SET OF SALT AND PEPPER TOADSTOOLS",12,15.00
2010-12,22941,"CHRISTMAS LIGHTS 10 REINDEER",8,68.00
2010-12,23311,"VINTAGE CHRISTMAS STOCKING ",50,132.32
2010-12,47566,"PARTY BUNTING",16,79.20
2010-12,84926F,"PSYCHEDELIC TILE COASTER",24,6.96
2010-12,21813,"GARLAND WITH STARS AND BELLS",12,49.44
2010-12,21823,"PAINTED METAL HEART WITH HOLLY BELL",66,31.46
2010-12,22086,"PAPER CHAIN KIT 50'S CHRISTMAS ",164,447.16
2010-12,23129,"HEART SHAPED HOLLY WREATH",12,49.80
2010-12,23212,"HEART WREATH DECORATION WITH BELL",25,31.25
2010-12,23220,"REINDEER HEART DECORATION GOLD",24,19.92
2010-12,35961,"FOLKART ZINC HEART CHRISTMAS DEC",24,20.40
2010-12,72807C,"SET/3 VANILLA SCENTED CANDLE IN BOX",5,25.29
2010-12,21012,"ANTIQUE ALL GLASS CANDLESTICK",12,25.20
2010-12,22119,"PEACE WOODEN BLOCK LETTERS",6,41.70
2010-12,22121,"NOEL WOODEN BLOCK LETTERS ",6,35.70
2010-12,23284,"DOORMAT KEEP CALM AND COME IN",19,170.19
2010-12,23503,"PLAYING CARDS KEEP CALM & CARRY ON",80,100.00
2010-12,72816,"SET/3 CHRISTMAS DECOUPAGE CANDLES",25,23.75
2010-12,72817,"SET OF 2 CHRISTMAS DECOUPAGE CANDLE",74,59.30
2010-12,72818,"CHRISTMAS DECOUPAGE CANDLE",85,33.15
2010-12,85053,"FRENCH ENAMEL CANDLEHOLDER",24,50.40
2010-12,21497,"FANCY FONTS BIRTHDAY WRAP",50,21.00
2010-12,21928,"JUMBO BAG SCANDINAVIAN BLUE PAISLEY",11,22.88
2010-12,21929,"JUMBO BAG PINK VINTAGE PAISLEY",12,27.01
2010-12,22300,"COFFEE MUG DOG + BALL DESIGN",6,15.30
2010-12,22301,"COFFEE MUG CAT + BIRD DESIGN",6,15.30
2010-12,22349,"DOG BOWL CHASING BALL DESIGN",12,45.00
2010-12,22350,"ILLUSTRATED CAT BOWL ",12,30.60
2010-12,22411,"JUMBO SHOPPER VINTAGE RED PAISLEY",112,206.01
2010-12,22413,"METAL SIGN TAKE IT OR LEAVE IT ",55,143.05
2010-12,23203,"JUMBO BAG VINTAGE DOILY ",35,76.90
2010-12,84755,"COLOUR GLASS T-LIGHT HOLDER HANGING",16,10.40
2010-12,85099B,"JUMBO BAG RED RETROSPOT",77,170.41
2010-12,22423,"REGENCY CAKESTAND 3 TIER",37,455.16
2010-12,22697,"GREEN REGENCY TEACUP AND SAUCER",38,117.78
2010-12,22698,"PINK REGENCY TEACUP AND SAUCER",38,117.78
2010-12,22699,"ROSES REGENCY TEACUP AND SAUCER ",36,106.20
2010-12,23171,"REGENCY TEA PLATE GREEN ",14,26.38
2010-12,23172,"REGENCY TEA PLATE PINK",14,26.38
